DIVE TIME,SURFACE TIME,D/S,SPECIES
21.40,4.60,8.08,Bufflehead
13.80,7.40,3.14,Bufflehead
20.40,7.80,3.13,Bufflehead
7.20,10.80,1.06,Smew
17.60,11.20,2.15,Smew
14.60,7.40,1.61,Smew
11.60,7.60,1.92,Bufflehead
19.60,8.20,4.61,Bufflehead
26.60,5.60,5.19,Bufflehead
8.60,6.80,1.31,Smew
11.20,3.80,3.00,Smew
10.20,4.20,2.89,Smew
